id,character_id,story_title,series_or_anthology,genre,story_length,type_of_rep,character_importance,rep_noteswarnings,other_noteswarnings,cover
560,414,Teeth,The Icefjord Saga,Fantasy,Novel (short),On Page,Main,,,
561,415,Now Entering Addamsville,,"Paranormal, Young Adult",Novel (long),Word Used,Lead,,,
562,416,Sal and Gabi Fix the Universe,Sal and Gabi,"Middle Grade, Science Fiction",Novel,Word Used,Lead,Sal is Cuban and has Type 1 diabetes,,
563,416,Sal and Gabi Break the Universe,Sal and Gabi,"Middle Grade, Science Fiction",Novel,On Page,Lead,Sal is Cuban and has Type 1 diabetes,"Grief over the loss of a parent, vague references to a side character's bad home life",
564,417,And They Don't Kiss at the End,All Out: The No-Longer-Secret Stories of Queer Teens Throughout The Ages,"Historical, Young Adult",Short Story,On Page,Lead,Dee is a Black teenager in the process of discovering her identity. Story set in the 1970's.,,
565,418,Atlas Alone (Planetfall #4),Planetfall,Science Fiction,Novel (long),On Page,Lead,Character frequently calls her own humanity and ability to feel emotions into question due to her trauma. Considered cold by herself and those around her. Robot themes. CW: Loss of bodily autonomy,"CW: Slavery, depression, loss of bodily autonomy",
566,419,A Book About Life,,Fiction,Novel (short),On Page,Lead,,"Off-page sexual assault, domestic violence, on-page self-harm, off-page suicide",
567,420,Devon's island,White Hart,Science Fiction,Novel (short),Word Used,Main,,Devon is autistic. Another character faces racial abuse in a short scene,
568,421,Over and Over Again,,Romance,Novel (long),Word Used,Lead,,"age gap (20 and 46). On page sex. CW: self-harm through neglect, homophobia, homophobic slurs, ableism, sick animals, alcohol",
569,422,Godspeaker,Legends of Andelan,Fantasy,Novel (short),On Page,Side,,"CW: violence, suicide, character death",
570,423,Simply An Enigma,,"Contemporary, Young Adult",Novel (short),Word Used,Lead,Character learns about asexuality from one of his friend and feels a weight lifted off his shoulders. Questioning,"CW: Slut-shaming (called out in text), sexual content, alcohol, underage drinking",
571,424,Eight Kinky Nights,,"Contemporary, romance",Novel (long),Word Used,Lead,Leah is autistic and Jewish,"Contains polyamorous, gray ace, pansexual, Jewish, fat, autistic, disabled, arthritis, PTSD and depression representation. (A more complete list of content warnings can be found on author's website). Kink, on-page sex, references to chronic pain, autistic characters getting overwhelmed, PTSD, nightmares, panic attacks, intrusive thoughts, references to parental depression and child neglect stemming from it, references to parental death from suicide in the past, grief (parental death), references to parental abuse around autism, discussion of transmisogyny, confrontation with a TERF, references to ableism, references to sexual pressure and emotional abuse in a relationship.",
572,425,Human Enough,,Paranormal Romance,Novel (short),Word Used,Main,,"Ableism (challenged), abduction, reference to past emotionally abusive relationship",
573,426,Play It Again,,"Contemporary, Romance",Novel (short),Word Used,Lead,"Sam starts identifying as asexual as the story progresses. He learns about asexuality from his love interest, whose sister is aroace.","The other main character (Sam's love interest), Dovid, is Jewish, blind and bisexual. Dovid's sister is aroace. Content warning for parental abuse, queerphobia",
574,427,Tarnished Are the Stars,,"Science Fantasy, Young Adult",Novel (long),Word Used,Main,Nathaniel doesn't have the words for his identity at first,"CW: abuse, parental death (on and off screen), surgery, blood",
575,428,How to Be a Movie Star,How to Be,"Contemporary, romance",Novel (short),Word Used,Lead,,drug use (marijuana),
576,428,How to Be a Normal Person,How to Be,"Contemporary, romance",Novel (short),On Page,Side,,,
577,429,A Quiet Man (Shifters and Partners #19),Shifters and Partners,"Paranormal (shifters), romance",Novel (short),Word Used,Lead,"Character is isolated and lonely in part due to his asexuality. Word ""asexual"" provided by allo love interest",,
578,430,"Technically, You Started It",,"Romance, Young Adult",Novel (short),Word Used,Lead,Explicit discussions about demisexuality and bisexuality.,Story is told entirely in text messages. The lead character's love interest is bisexual.,
579,431,Space Unicorn Blues,Reason,Science Fiction,Novel (long),Word Used,Main,"Gary is half-human, half-unicorn. It is implied by a character that his asexuality is due to to his unicorn origins.","CW: Slavery, captivity,  colonialism, patriarchal and racist empire, misgendering and deadnaming of trans character",
580,431,Five Unicorn Flush,Reason,Science Fiction,Novel (short),Word Used,Main,"Gary is half-human, half-unicorn. It is implied by a character that his asexuality is due to to his unicorn origins.","CW: Slavery, captivity,  colonialism, patriarchal and racist empire",
581,432,Wolf Moon,Luna,Science Fiction,Novel (long),On Page,Main,,"CW: murder, violence, alcoholism",
582,432,Moon Rising,Luna,Science Fiction,Novel (long),On Page,Main,,"CW: Murder, violence",
583,432,New Moon,Luna,Science Fiction,Novel (long),On Page,Main,,"CW: On page sex, sexual assault, child abuse",
584,433,Page,Protector of the Small,"Fantasy, Young Adult",Novel (short),Word of God,Lead,,,
585,433,First Test,Protector of the Small,"Fantasy, Young Adult",Novel (short),Word of God,Lead,,,
586,433,Squire,Protector of the Small,"Fantasy, Young Adult",Novel (long),Word of God,Lead,,,
587,433,Lady Knight,Protector of the Small,"Fantasy, Young Adult",Novel (long),Word of God,Lead,,,
588,434,That Kind of Guy,Ravenswood,"Romance, Contemporary",Novel (short),Word Used,Lead,Zach has just realized his demisexuality. Some talks about the social pressure to have sex.,Depictions of emotional abuse and mentions of unwanted sexual encounters,
589,435,Sawkill Girls,,"Horror, Mystery, Young Adult",Novel (long),Word Used,Lead,"Zoey is black and asexual. She is possibly biromantic. One character says something offensive about Zoey's asexuality and is immediately called out on it by the other characters. Zoey broke up with her boyfriend because she thinks her asexuality will be a problem for him, but it isn't.","Strong female friendships. CW: Death, gore",
590,436,The Burning God,The Poppy War,Fantasy,Novel (long),Word of God,Main,,,
591,436,The Poppy War,The Poppy War,Fantasy,Novel (long),Word of God,Main,,"CW: war, chemical warfare, massacres, genocide, mutilation, torture, human experimentation, rape, gore, self-harm, suicide, abuse (emotional and physical), drug use",
592,436,The Dragon Republic,The Poppy War,Fantasy,Novel (long),Word of God,Main,,"CW: war, chemical warfare, massacres, genocide, mutilation, torture, human experimentation, rape, gore, self-harm, suicide, abuse (emotional and physical), drug use",
593,437,Pax Novis,The Pax Archives,"Science Fiction, Young Adult",Novel (long),Word Used,Lead,Cira has a prosthetic arm,"CW: War, child abuse",
594,438,Immoral Code,,"Contemporary, Young Adult",Novel,Word Used,Main,,,
595,439,All or None,Star Stories,Fantasy,Novel (long),Word of God,Side,"Psychological and physical abuse, childhood abuse, off-page rape","Enemies to lovers. Implied sexual situations, suggestive language, teenaged romance with implied sexuality, physical and psychological abuse, implied off-page rape, childhood abuse (not by family), death of romantic partner, violence, violence against children, bigotry towards fictional races, mentions of past transphobia/misgendering",
596,440,Hold,,"Contemporary, Young Adult",Novel (short),Word Used,Main,,"CW: Illness, death of sibling, grief, bullying, racism, racist microaggressions",
597,441,The Hereafter Bytes,,Science Fiction,Novel (short),Word Used,Lead,Romeo is a ghost in a robot body. His asexuality and aromanticism are not linked to that and were always present.,,
598,442,We Were Restless Things,,"Mystery, Young Adult",Novel (long),Word Used,Lead,Discussions about asexuality. Love interest is character's step sibling. Character's boundaries in regards to sexuality are not always respected,"CW: Death, grief",
599,443,Dread Nation,Dread Nation,"Alternate history, Horror, Young Adult",Novel (long),On Page,Main,"Character has to fake interest in a man to accomplish a plan, which leads to discussions about her asexual and aromantic identities","CW: slavery, racism, racial slurs, colourism, family separation, ableism, death, violence and gore, physical abuse, mentions of child abuse, mentions of sexual assault",
600,443,Deathless Divide,Dread Nation,"Alternate history, Horror, Young Adult",Novel (long),On Page,Main,,"CW: slavery, racism, racial slurs, colourism, family separation, ableism, death, violence and gore, physical abuse, mentions of child abuse, mentions of sexual assault",
601,444,Sufficiently Advanced Magic,Arcane Ascension,Fantasy,Novel (long),On Page,Lead,Touch averse,,
602,444,On the Shoulders of Titans,Arcane Ascension,Fantasy,Novel (long),On Page,Lead,Touch averse,,
603,444,The Torch that Ignites the Stars,Arcane Ascension,Fantasy,Novel (long),On Page,Lead,Touch averse,,
604,445,Upside Down,,"Gay romance, LGBTQIA romance",Novel (short),Word Used,Main,Both characters are romance positive.,"Best friend is a lesbian, other best friend is a married bisexual man, housemate is bisexual.",
605,446,Beyond the Black Door,,"Fantasy, Young Adult",Novel (long),On Page,Side,"Kihan gets misgendered at some points. He hasn’t yet switched to he/him pronouns for most of the story and is working to get to that point. Lead character, Kamai, experiences internalized acemisia, resolved on page. She also forces herself into a sexual situation out of a sense of obligation, stops it before it goes very far.",Book also contains an ace lead character and an ace love interest. Content warnings: Emotionally abusive romantic relationships (mostly called out on page). Attempted suicide. Physical violence. Birth control manipulation resulting in a pregnancy (Not the main character).,
606,447,Belly Up,,"Contemporary, Young Adult",Novel,Word Used,Main,Leaf is Romani. He is the love interest of the lead character.,,
607,448,Alpha Heat,Heat of Love,Fantasy,Novel (long),Word Used,Main,"Mpreg, Heat",Polyamory,
608,449,Belle Révolte,,"Fantasy, Young Adult",Novel (long),Word Used,Lead,Annette discusses the fact that society sometimes implies she is broken with another character. She is however secure in her identity.,"LGBTQ+ cast. Several trans and non-binary characters, not misgendered or deadnamed in the text. CW: governement pushed heteronormativity (including socially gendered magic system), sibling death (on and off page), executions, mentions of child neglect and abuse, murder, gore, medical neglect, abuse.",
609,450,Winter Tide,The Innsmouth Legacy,"Fantasy, Horror",Novel (long),Word of God,Lead,Aphra is not human,Lovecraftian mythos CW: mentions of sexual assault. Aphra's time in an internment camp is seen through flashbacks. The destruction and assimilation of a culture is a big theme of the series.,
610,450,Deep Roots,The Innsmouth Legacy,"Fantasy, Horror",Novel (long),On Page,Lead,Aphra is not human,Lovecraftian mythos. CW: mentions of sexual assault. Aphra's time in an internment camp is seen through flashbacks. The destruction and assimilation of a culture is a big theme of the series.,
611,450,The Litany of Earth,The Innsmouth Legacy,"Fantasy, Horror",Short story,Word of God,Lead,Aphra is not human,Lovecraftian mythos. CW: mentions of sexual assault. Aphra's time in an internment camp is seen through flashbacks. The destruction and assimilation of a culture is a big theme of the series.,
612,451,Into the Wilds,The Caelish Order,Urban Fantasy,Novel (short),On Page,Main,,,
613,451,Hunter's Blessing,The Caelish Order,Urban Fantasy,Novel (long),On Page,Main,,,
614,452,Faux,F-Word,Romance,Novel (short),Word Used,Lead,,"Character is raising his younger brother, Character gets accepted into boyfriend's found family",
615,453,Return to Wonderland,Looking Glass Saga,"Urban Fantasy, Young Adult",Novel (short),Word of God,Lead,The words appear on page and are explicitly shown later in the series,"Horror elements, including body horror",
616,454,The Art of Saving the World,,"Fantasy, Young Adult",Novel (long),Word Used,Lead,"Hazel is a questioning, asexual lesbian with undiagnosed anxiety",,
617,455,Minuet,Notes from Boston,"Contemporary, romance",Novel (long),Word Used,Lead,Polyamory,"CW: Mentions of addiction, recovery from addiction, and relapse, gender dysphoria, body image issues, mentions of family violence",
618,456,The Princess and the Fangirl,Once Upon a Con,"Contemporary, Young Adult",Novel (short),Word Used,Main,,Retelling of the Prince and the Pauper,
619,457,The Stars We Steal,,"Science Fiction, Young Adult",Novel (long),On Page,Main,,,
620,458,Red Skies Falling,Skybound,"Fantasy, Young adult",Novel (long),On Page,Lead,,"Kylee's twin brother, Brysen, is gay. CW: Parental abuse",
621,458,Gold Wings Rising,Skybound,"Fantasy, Young adult",Novel (long),On Page,Lead,,,
622,458,Black Wings Beating,Skybound,"Fantasy, Young adult",Novel (long),On Page,Lead,,"Kylee's twin brother, Brysen, is gay. CW: Parental abuse",
623,459,Dreams of Shreds and Tatters,,Horror,Novel (short),Word Used,Lead,Character is already in an established romantic relationship when the book starts,"CW: Death, gore, body horror",
624,460,Aces,,Contemporary,Novel (short),Word Used,Main,Established relationship. Holly comes out as asexual during the book,homophobic family members,
625,461,Two Rogues Make a Right (Seducing the Sedgwicks #3),Seducing the Sedgwicks,Historical Romance,Novel (short),On Page,Lead,Chronically ill character,"CW: Parental abuse and neglect, medical neglect, past physical abuse, past drug addiction (opium), well intentioned kidnapping,",
626,462,Lady Ruth Constance Chapelstone and the American Escapade,Lady Ruth Constance Chapelstone Chronicles,"Historical, Science fiction (steampunk)",Novella,On Page,Lead,Autistic character,,
627,462,Lady Ruth Constance Chapelstone and the Parisian Thief,Lady Ruth Constance Chapelstone Chronicles,"Historical, Science fiction (steampunk)",Novella,On Page,Lead,Autistic character,,
628,462,Lady Ruth Constance Chapelstone and the Clockwork Suitor,Lady Ruth Constance Chapelstone Chronicles,"Historical, Science fiction (steampunk)",Novella,On Page,Lead,Autistic character. Pressure to get married,,
629,463,Behind These Doors,Radical Proposals,"Historical fiction, romance",Novel,On Page,Main,"Character is on the asexual spectrum, possibly demisexual. In a polyamorous relationship with his wife and his childhood friend",CW: On page sex scenes,
630,464,Once & Future,Once & Future,"Fantasy, Retelling, Young Adult",Novel (long),Word Used,Side,Character's sexuality is revealed as a plot twist,Ensemble cast of LGBTQIA+ characters,
631,464,Sword in the Stars,Once & Future,"Fantasy, Retelling, Young Adult",Novel (long),Word Used,Side,,,
632,465,The Afterward,,Fantasy,Novel (long),On Page,Lead,Marriage of convenience to another character to obtain custody of children,,
633,466,Exit Plans for Teenage Freaks,,"Science Fiction, Young Adult",Novel (short),Word Used,Side,,Past kidnapping,
634,467,Queen of Coin and Whispers,Queen of Coin and Whispers,"Fantasy, Young Adult",Novel (long),On Page,Lead,,"CW: murder, off-screen suicide, emotional torture",
635,468,Old Fashioned,,Fantasy,Short story,Word Used,Lead,Amelia is trans and autistic. The story is about the character learning the words for what she feels.,,
636,469,The First Sister,The First Sister Trilogy,Science Fiction,Novel (long),On Page,Main,,"CW: Violence, mentions of child abuse, implied torture, implied sexual assault, threats of sexual assault, loss of bodily autonomy, human experimentation, forced surgery, forced prostitution, child prostitution dysphoria, dysmorphia, misgendering",
637,470,Black Light Express,Railhead,"Science Fiction, Young Adult",Novel (short),On Page,Side,,,
638,470,Railhead,Railhead,"Science Fiction, Young Adult",Novel (short),,,Appears later in the series,,
639,470,Station Zero,Railhead,"Science Fiction, Young Adult",Novel (short),On Page,Side,,,
640,471,Rick,,"Contemporary, Middle Grade",Novel (short),Word Used,Lead,"Questioning narrative. Rick learns about asexuality during the course of the story. He spends part of the story having trouble communicating his identity to his loved ones, and feeling like he has to hide it from his toxic friend.","LGBTQIAP+ supporting cast. CW: toxic friendship, bullying, characters engaging in amatonormativity",
641,472,The Black Veins,Dead Magic,"Fantasy, Young Adult",Novel (long),Word Used,Main,Caspian is trans,"No romance. CW: Discussion of deceased parents, siblings, and potential parental and familial death, description of mild bloodshed in violent scenes, mention of drugs and drug use, primarily marijuana, gun use, supernatural horror, car accident, discussion of anxiety and panic disorders, anxiety attack, n-word slur (author is Black) (chapter locations for content warnings can be found inside the book)",
642,473,Switchback,,"Adventure/Survival, Young Adult",Novel (long),Word Used,Main,,,
643,474,The Stars We Steal,,"Science Fiction, Young Adult",Novel (long),On Page,Lead,,,
644,475,All the Birds in the Sky,All the Birds in the Sky,"Fantasy, Science Fiction",Novel (short),Word Used,Side,,,
645,476,All or None,Star Stories,Fantasy,Novel (long),Word of God,Side,"physical and psychological abuse, childhood abuse, off-page rape","Enemies to lovers. Implied sexual situations, suggestive language, teenaged romance with implied sexuality, physical and psychological abuse, implied off-page rape, childhood abuse (not by family), death of romantic partner, violence, violence against children, bigotry towards fictional races, mentions of past transphobia/misgendering",
646,477,Christmas Lane,Lighthouse Bay,"Contemporary, Romance",Novella,Word of God,Main,Character is arospec and questioning,Age gap romance. Holland is Zach's former teacher.,
647,478,"Red, from the Heartwood",Sharp & Sugar Tooth,"Horror, fantasy, romance",Short story,Word Used,Lead,Character is a dryad,"CW: Body horror, food",
648,479,Royal Rescue,,Fantasy,Novel (long),On Page,Lead,Some external and internalized acemisia that is largely challenged and addressed,"Depression, anxiety, burn injury, mistreatment of animals (magical creatures)",
649,480,Daugment,,Science Fiction,Novel (long),On Page,Main,,"Death, violence (not specifically against this character)",
650,481,Scavenge the Stars,Scavenge the Stars,"Fantasy, Young Adult",Novel (short),On Page,Lead,Amaya's best friend is aroace,"Retelling of The Count of Monte Cristo. CW: child abuse, death, gambling addiction, indentured servitude",
651,482,Camp,,"Contemporary, Young Adult",Novel (long),Word Used,Main,,"LGBTQIA+ cast. Confronts  internalised homophobia and toxic masculinity. CW: homophobia, internalised homophobia, toxic masculinity",
652,483,Interface,Interface,"Science fiction, Young Adult",Novel (short),Word of God,Lead,Author has stated that the character will discover her identity in the third book,"CW: Kidnapping, violence, murder, suicide, death of a parent",
653,485,Upside Down,,"Gay romance, LGBTQIA romance",Novel (short),Word Used,Lead,Both characters are romance positive.,"Best friend is a lesbian, other best friend is a married bisexual man, housemate is bisexual.",
654,486,"Jayson the Witch: The Witch, The Prince & Rowan No End",Jayson the Witch,Fantasy,Novel (short),On Page,Lead,,Prince Nathaniel Echoes realizes he is gay when he meets Jayson for the first time. There’s a coming out scene involved as well. The two fall in love and get married.,
655,487,In Pain and Blood,Spellster Series,"High Fantasy, Romance",Novel (long),On page,Main,Character is kissed by lead who believes it to be a dream and immediately apologizes.,On page sex,
656,488,Paint the Stars,Free Fall,"Contemporary, romance",Novel (short),Word Used,Lead,Character is somewhat isolated and avoids relationships,CW: Homophobic parents,
657,490,Earnest Ink,,"Fantasy, Thriller",Novel (short),Word Used,Main,,"CW: PTSD, trauma, war, violence, murder, blood, kidnapping, eating disorders, body hatred, transphobia",
658,491,The Rat-Catcher's Daughter,Lilywhite Boys,Historical romance,Novella,On Page,Lead,Love interest is also ace,"Ace/Ace romance. CW: Transphobia, misgendering, deadnaming, threats of violence, violence",
659,492,Books and Bone,Tombtown,Fantasy,Novel (long),On Page,Main,Ree is still coming to terms with her asexuality and author has stated her journey will continue in the next book.,"Ree has a strained but loving relationship with her parents. Her best friend, Usther, is a huge figure in her life and equal parts ally and antagonist. She also has a close relationship with her mentor Emberlon, the head archivist, and with the local healer, Andomerys. Lots of zombies/undead but the book is not particularly gory.",
660,493,Blood and Clockwork,,"Steampunk, Romance",Novella,Word Used,Lead,,,
661,494,More than enough,More than enough,Contemporary,Novella,Word used,Main,,,
662,494,Not close enough,More than enough,Contemporary,Novella,Word used,Main,Ace character participates in sexual activity with his bisexual boyfriend,,
663,495,Meet You By Hachiko,,Young Adult,Novel (long),On Page,Lead,Questioning aro character,,
664,496,Beyond the Black Door,,"Fantasy, Young Adult",Novel (long),On Page,Side,"Vehyn is the villainous love interest of the main character. Lead character, Kamai, experiences internalized acemisia, resolved on page. She also forces herself into a sexual situation out of a sense of obligation, stops it before it goes very far.",Book also contains an ace lead character and an ace/trans side character. Content warnings:  Emotionally abusive romantic relationships (mostly called out on page). Attempted suicide. Physical violence. Birth control manipulation resulting in a pregnancy (Not the main character). Misgendering of a trans character who has not yet switched pronouns and is in that process.,
665,497,Sorcery of Thorns,,"Fantasy, Young Adult",Novel (long),On Page,Side,"While it is strongly implied in the book, the author has also confirmed that Katrien is on the Aro/Ace spectrum.","CW: Body Horror, Minor gore, implied sexual assault, implied child abuse",
666,498,Baptism of Fire,Playing With Hellfire,Paranormal,Novel (short),On Page,Lead,,"CW: Suggestive themes, violence, burns, blood, mild gore, character death, depression, PTSD, suicidal ideation, substance abuse (alcohol)",
667,499,Star Stories,All or None,Fantasy,Novel (long),Word of God,Main,Character is a trans woman. Mentions of transphobic parents,"Enemies to lovers. Implied sexual situations, suggestive language, teenaged romance with implied sexuality, physical and psychological abuse, implied off-page rape, childhood abuse (not by family), death of romantic partner, violence, violence against children, bigotry towards fictional races, mentions of past transphobia/misgendering",
668,500,The Network,,Science Fiction,Novella,Word used,Lead,Character is either biromantic or panromantic (unspecified). The main F/F relationship is human/alien; a background F/NB/NB relationship is an alien form of queerplatonic.,"blood and implied violence, implied suicidal ideation, dissociation and trauma flashbacks, anxiety, grief, injury to children, needles, and involuntary drug use/sedatives",
669,501,Hazel's Theory of Evolution,,"Contemporary, Middle Grade",Novel (short),Word Used,Lead,The words Asexual and Aromantic are used in an author's note. The character doesn't use them herself.,"Hazel has two moms. CW: Grief over a parent's miscarriages, bullying",
670,502,Scar Ghyll Levels,,"Coming of age, Historical romance",Short story,Word of God,Lead,Short description of intimacy within ace-allo relationship,Describes communication difficulties when asexual vocabulary unknown. Set in a mining area of northern England in the 1870s.,
671,503,My Heart Is Yours,The Absolutes,"Fantasy, romance",Novella,Word Used,Lead,Mentions of microaggressions a demisexual character endured,"CW: Brief allusions to anxiety related to a character’s skin condition, brief allusions to microaggressions a demisexual character endured, mentions of deceased parents, mentions of infant death, violence, including gore and loss of limbs, parental abuse",
672,504,This Song Is (Not) for You,,"Contemporary, Young Adult",Novel (short),On Page,Main,"Tom does a bit of exploring/questioning about his sexuality. He tries things like kissing to see if this time he'll like it.  The word asexual itself is not used. Tom mentions ""other people like him"".",Polyamorous relationship,
673,505,Sorcery of Thorns,,"Fantasy, Young Adult",Novel (long),On Page,Main,"Silas is not human (He is a demon). There are subtle signs that he is asexual in the book, and it has been confirmed by the author.","CW: Body Horror, Minor gore, implied sexual assault, implied child abuse",
